Section,Date,Year,Location,Latitude,Longitude,Primary_Recipient,Primary_Theme,Key_Themes,Historical_Context,Source
1,1831-11-01,1831,Hiram Ohio,41.3126,-81.1432,Joseph Smith,Preface/Revelation,"Scripture, revelation, warning","Known as the Lord's preface to the Book of Commandments.",Joseph Smith Papers
2,1823-09-21,1823,Manchester New York,42.9589,-77.2303,Joseph Smith,Restoration of Elijah,"Prophecy, sealing, keys","The angel Moroni reminded Joseph Smith of the promise concerning Elijah.",Joseph Smith Papers
3,1828-07-07,1828,Manchester New York,42.9589,-77.2303,Joseph Smith,Rebuke and Recovery,"Translation, repentance, lost manuscript","Given after the loss of the 116 manuscript pages.",Joseph Smith Papers
4,1829-04-27,1829,Manchester New York,42.9589,-77.2303,Joseph Smith,Calling to Service,"Desire, asking, service","A revelation about a divine calling to the work.",Joseph Smith Papers
5,1829-04-30,1829,Manchester New York,42.9589,-77.2303,Joseph Smith,John the Baptist and Priesthood,"Aaronic Priesthood, baptism, keys","Revelation associated with the restoration of the Aaronic Priesthood.",Joseph Smith Papers
6,1829-04-30,1829,Manchester New York,42.9589,-77.2303,Joseph Smith,Reassurance and Witness,"Testimony, record, divine help","Encouragement received during the translation work.",Joseph Smith Papers
13,1829-05-15,1829,Harmony Pennsylvania,41.7455,-76.4560,Joseph Smith and Oliver Cowdery,Restoration of the Aaronic Priesthood,"Priesthood, baptism, keys","Instruction and ordination related to the restoration of priesthood authority.",Joseph Smith Papers
20,1830-04-06,1830,Fayette New York,42.8456,-76.8230,Joseph Smith,Church Organization,"Church government, ordinances, priesthood","Revelation on the organization and government of the Church.",Joseph Smith Papers
25,1830-07-01,1830,Fayette New York,42.8456,-76.8230,Emma Smith,Emma and the Elect Lady,"Calling, support, hymnody","A revelation directed to Emma Smith about her role in the Church.",Joseph Smith Papers
27,1830-08-01,1830,Manchester New York,42.9589,-77.2303,Joseph Smith,The Sacrament and Armor of God,"Sacrament, revelation, spiritual protection","A revelation received at the time of a sacrament meeting.",Joseph Smith Papers
42,1831-02-09,1831,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Law of the Church,"Consecration, stewardship, discipleship","Known as the law of the Church and centered on consecration.",Joseph Smith Papers
45,1831-03-07,1831,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Olive Leaf and Zion,"Jerusalem, Zion, hope","A revelation offering comfort and identifying the Savior as the Olive Leaf.",Joseph Smith Papers
49,1831-05-20,1831,Kirtland Ohio,41.6259,-81.3615,Joseph Smith and Sidney Rigdon,Marriage and Millennial Order,"Marriage, creation, sexuality","A revelation addressing practices associated with the United Society.",Joseph Smith Papers
57,1831-07-20,1831,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Land of Zion,"Zion, Independence, inheritance","Revelation identifying Missouri as the place of Zion.",Joseph Smith Papers
58,1831-08-01,1831,Independence Missouri,39.0911,-94.4155,Joseph Smith,Agency and Stewardship,"Obedience, stewardship, agency","A revelation encouraging the Saints to live with faith and responsibility.",Joseph Smith Papers
76,1832-02-16,1832,Hiram Ohio,41.3126,-81.1432,Joseph Smith and Sidney Rigdon,Vision of the Degrees of Glory,"Salvation, resurrection, glory","Major vision received while translating John 5:29.",Joseph Smith Papers
82,1832-04-26,1832,Independence Missouri,39.0911,-94.4155,Joseph Smith,Stewardship and Zion,"Accountability, consecration, United Firm","Revelation given during a council of high priests and elders in Missouri.",Joseph Smith Papers
84,1832-09-22,1832,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Priesthood and the Oath and Covenant,"Priesthood, temple, accountability","A major revelation on priesthood office and responsibilities.",Joseph Smith Papers
87,1832-12-25,1832,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,War and Proclamation,"Conflict, war, prophecy","A revelation about war and the future of nations.",Joseph Smith Papers
89,1833-02-27,1833,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Word of Wisdom,"Health, moderation, obedience","The revelation commonly known as the Word of Wisdom.",Joseph Smith Papers
93,1833-05-06,1833,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Light and Truth,"Truth, light, family","A revelation on light, truth, and the growth of intelligence.",Joseph Smith Papers
107,1835-08-17,1835,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Church Government,"Priesthood, quorums, authority","A revelation clarifying priesthood offices and quorums.",Joseph Smith Papers
109,1836-03-27,1836,Kirtland Ohio,41.6259,-81.3615,Joseph Smith,Temple Dedication,"Prayer, temple, covenant","The dedicatory prayer for the Kirtland Temple.",Joseph Smith Papers
110,1836-04-03,1836,Kirtland Ohio,41.6259,-81.3615,Joseph Smith and Oliver Cowdery,Priesthood Keys,"Temple, Moses, Elias, Elijah, keys","Vision in the Kirtland Temple restoring priesthood keys.",Joseph Smith Papers
121,1839-03-20,1839,Liberty Missouri,39.2433,-94.4191,Joseph Smith,Patience in Affliction,"Opposition, humility, power","Part of the Liberty Jail revelations on suffering and patience.",Joseph Smith Papers
122,1839-03-22,1839,Liberty Missouri,39.2433,-94.4191,Joseph Smith,The Son of Man,"Suffering, heaven, power","A revelation emphasizing Christ's control over human affliction.",Joseph Smith Papers
123,1839-03-20,1839,Liberty Missouri,39.2433,-94.4191,Joseph Smith,Documenting Losses,"Appeal, records, history","Instruction to compile a memorial and documentation of losses.",Joseph Smith Papers
